"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",29,5.45726495726496,88,6.0735,2.327,217700,0.740397963905599,10.1720647773279,0.0361690399632522,,0.127837851705125,0.0360267240729383,54
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",30,7.31730769230769,93.14,5.3576,1.0737,306800,0.557194362504097,10.7981220657277,0.0458898305084745,,0.0918833403624543,0.0279207444435846,42
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",31,7.22435897435897,89.71,3.8656,0.5573,225400,0.356188780053428,6.57210401891253,0.0247870452528838,,0.0939940211940775,0.0195372474042479,56
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",32,6.57799145299145,94.49,2.4498,0.6262,559600,0.358680057388809,6.65141985896703,0.0119138670478913,,0.067039492619775,0.0315224534835336,55
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",33,2.14209401709402,81.69,,,123100,0.0813008130081301,7.88781770376862,0.035540211210398,,0.177398335450423,0.0274919334620819,63
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",34,2.29273504273504,84.4,5.6915,4.2384,261300,0.345622119815668,3.85532591414944,0.0193379257558361,,0.153159501140609,0.029666657636875,75
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",35,8.82478632478633,97.94,1.1294,,256300,0.628190027483314,9.34300341296928,0.0383495903238393,,0.0810629696253376,0.0107712998812719,52
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",36,7.02777777777778,100,,,213400,0.612918434700613,9.4920472036942,0.0559372071227742,,0.194865766897378,0.0297805941581487,60
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",37,1.70299145299145,84.75,,,303000,0.564221705940923,1.91725529767911,-0.00217491749174914,,0.125949698887346,0.0588098354150914,145
"City","Oakland","Oakland","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",38,7.71260683760684,92.31,3.4401,1.5812,688900,0.0580973129992738,8.4198929807995,0.0307911162723182,,0.0402879983283978,0.0243726854026248,43
"City","Tulsa","Tulsa","OK","Tulsa, OK","""Tulsa, OK""",39,1.5491452991453,,,,109900,-0.181653042688465,1.75925925925926,0.0278434940855323,,0.0891486483044078,0.0350158783896636,70
"City","Cleveland","Cleveland","OH","Cleveland, OH","""Cleveland-Elyria, OH""",40,3.13568376068376,71.88,13.8793,6.5517,59400,1.19250425894378,13.3587786259542,0.0422727272727272,,0.311175993801947,0.0706509473816432,74
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI","""Urban Honolulu, HI""",41,8.26923076923077,92.48,0.1488,,675000,0.178094390026714,4.97667185069984,0.0181644444444444,,0.0445349597198225,0.0145202323936215,73
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",42,2.72649572649573,86.98,6.8158,2.1118,237400,-0.252100840336134,6.64869721473495,0.0174094355518113,,0.0970857181588877,0.0133865753557121,67
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA","""Baton Rouge, LA""",43,3.89316239316239,90.68,,,161400,0.686213349968808,7.52831445702865,0.0288413878562577,,0.0915415831078846,0.0480839858388184,59
"City","New Orleans","New Orleans","LA","New Orleans, LA","""New Orleans-Metairie, LA""",44,3.58867521367521,90.57,,,170100,0.889679715302491,-1.39130434782609,,,0.106489511819658,0.0529835904829087,84
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",45,8.24358974358974,98.53,1.6569,0.4017,181600,0.331491712707182,7.51924215512137,0.0366850220264316,,,,41
"City","Raleigh","Raleigh","NC","Raleigh, NC","""Raleigh, NC""",46,7.46474358974359,94.12,1.9087,0.2546,223200,0.134589502018843,5.53191489361702,0.0383602150537634,,0.0776142454950553,0.0173965923692633,50
"City","Wichita","Wichita","KS","Wichita, KS","""Wichita, KS""",47,7.12606837606838,96.15,,,123200,0.325732899022801,7.2236727589208,,,0.0631696791698447,0.0188481453273803,68.5
"City","Tampa","Tampa","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",48,7.76068376068376,86.59,,,187400,0.59044551798175,13.3696309739867,0.0424973319103521,,0.114122026244868,0.0641632040732201,78
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",49,6.18482905982906,93.91,2.8915,0.8866,573500,0.367518375918796,5.42279411764706,0.0119215344376635,,0.0503829318455338,0.0260619746042599,54
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",50,7.27991452991453,93.94,3.4732,1.14,519900,0.328058664608259,9.01656531767666,0.0202538949798039,,0.0673460717680296,0.0356096189021687,61.5
"City","Aurora","Aurora","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",51,9.29273504273504,98.8,1.9755,0.1166,289800,0.415800415800416,9.77272727272727,0.0379882677708765,,0.0550861010985327,0.00747905364622037,45
"City","Saint Louis","Saint Louis","MO","St. Louis, MO","""St. Louis, MO-IL""",52,4.70940170940171,80.52,7.1151,5.6176,122500,0.906095551894563,11.4649681528662,0.043665306122449,,0.159043045903023,0.0383094358248027,67
"City","Cincinnati","Cincinnati","OH","Cincinnati, OH","""Cincinnati, OH-KY-IN""",53,4.07692307692308,100,,2.798,125400,0.400320256204964,6.45161290322581,0.0357097288676236,,0.131047764399023,0.0434041228359064,69
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA","""Pittsburgh, PA""",54,8.37820512820513,93.51,0.5153,0.6094,125400,0.642054574638844,4.58715596330275,0.031738437001595,,0.0885033756495306,0.025712665089552,75
"City","Riverside","Riverside","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",55,7.36858974358974,90.97,3.2183,1.3886,355600,-0.0281135788585887,6.4033512866547,0.051586051743532,,0.0887577185226092,0.0344881991617398,60
"City","Marietta","Marietta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",56,6.38461538461539,96.55,,,259800,0.502901353965184,5.69568755085435,0.0423325635103926,,0.0789484628378756,0.0186676687622299,56
"City","Anchorage","Anchorage","AK","Anchorage, AK","""Anchorage, AK""",57,4.24893162393162,82.74,,,295400,-0.0338409475465313,1.02599179206566,0.0486289776574136,,0.160209421750699,0.0113147847571781,72
"City","Bakersfield","Bakersfield","CA","Bakersfield, CA","""Bakersfield, CA""",58,1.72008547008547,82.23,5.8913,2.4375,219400,-0.272727272727273,3.14997649271274,0.0246490428441204,,0.158220539220204,0.0393137032652842,67
"City","Saint Paul","Saint Paul","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",59,6.81196581196581,90.34,6.9963,0.7157,199900,0.857719475277497,9.89554700384827,0.0242071035517759,,0.075536705357706,0.0299015166553034,72
"City","Toledo","Toledo","OH","Toledo, OH","""Toledo, OH""",60,3.1207264957265,,,,63500,0.157728706624606,6.72268907563025,0.0259685039370079,,0.22802027647482,0.0550753159966505,95
"City","Silver Spring","Silver Spring","MD","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",61,3.16025641025641,89.29,4.5746,0.7787,389200,0.0771406531241965,2.23272918308379,0.0158324768756424,,0.114262618428336,0.0426925199016117,82
"City","Lexington","Lexington","KY","Lexington, KY","""Lexington-Fayette, KY""",62,7.53525641025641,92.65,0.1553,,166600,0.421940928270042,5.5766793409379,0.037779111644658,,0.0757417134897804,0.0188625300857185,59.5
"City","Newark","Newark","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",63,0.137820512820513,,,,227600,-1.21527777777778,2.52252252252252,0.0185193321616872,,0.292231685788394,0.204397571354834,163
"City","Tallahassee","Tallahassee","FL","Tallahassee, FL","""Tallahassee, FL""",64,2,78.29,,,168800,0.476190476190476,3.87692307692308,0.0307701421800948,,0.125900022581081,0.0604292601490515,74
"City","Stockton","Stockton","CA","Stockton, CA","""Stockton-Lodi, CA""",65,6.85576923076923,88.27,6.6524,1.6228,266000,0.94876660341556,12.3785382340515,0.0595413533834586,,0.115528829881297,0.0321882081381956,51
"City","Plano","Plano","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",66,9.72008547008547,96.46,0.5214,0.1346,329100,0.274223034734918,7.9016393442623,0.0374080826496506,,,,46
"City","Chandler","Chandler","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",67,6.68696581196581,83.65,3.1891,0.3506,281800,0.284697508896797,5.38519072550486,0.0201419446415898,,0.0970793313116524,0.0118049311025657,57
"City","Louisville","Louisville","KY","Louisville/Jefferson County, KY","""Louisville/Jefferson County, KY-IN""",68,6.61858974358974,89.02,,0.1489,119100,0.591216216216216,3.92670157068063,0.0352392947103275,,0.0926969490852413,0.0209238084784475,62
"City","Henderson","Henderson","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",69,4.73076923076923,79.72,5.9293,1.5258,279800,0.358680057388809,6.67174990468929,0.0487419585418156,,0.131498184637866,0.0501539428903945,59
"City","Modesto","Modesto","CA","Modesto, CA","""Modesto, CA""",70,7.52136752136752,92.26,6.0809,1.1087,265800,0.415564790328674,9.29276315789474,0.036188863807374,,0.0941413894418051,0.024177997909827,55
"City","Mobile","Mobile","AL","Mobile, AL","""Mobile, AL""",71,2.05555555555556,,,,111500,-0.17905102954342,2.67034990791897,0.0283766816143498,,0.164098688729141,0.0370292726682011,98
"City","Jersey City","Jersey City","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",72,7.85790598290598,,,,396700,1.0443199184921,23.0077519379845,0.0823367784219813,,0.19523178918451,0.0835611794415333,113
"City","Glendale","Glendale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",74,8.22435897435897,87.55,4.9757,0.7853,216800,0.603248259860789,8.99949723479135,0.0317758302583027,,0.101096781098942,0.0207089081777413,58
"City","Durham","Durham","NC","Durham, NC","""Durham-Chapel Hill, NC""",75,7.72542735042735,96.27,,,191500,0.789473684210526,8.4985835694051,0.0430078328981722,,0.0786108811208942,0.0190005262925948,52
"City","Orlando","Orlando","FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",76,7.5,82.48,,,171000,0.766057748968768,11.2556929082628,0.0465906432748537,,0.113405337754631,0.0517434833553332,72
"City","Norfolk","Norfolk","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",77,0.822649572649573,77.78,7.6304,11.8873,181600,0.331491712707182,4.12844036697248,0.0226266519823788,,0.218210970669931,0.0436103316579032,88
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",78,7.35149572649573,90.99,,,185000,0.325379609544469,13.4969325153374,0.0410864864864864,,0.0910062475345943,0.0757310417903341,73.5
"City","Pensacola","Pensacola","FL","Pensacola, FL","""Pensacola-Ferry Pass-Brent, FL""",79,6.08974358974359,91.67,,,136300,0.888230940044411,11.265306122449,0.0454585473220837,,0.127492511169571,0.0629028878296731,75.5
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN","""Fort Wayne, IN""",80,5.06944444444444,100,,,100200,-0.397614314115308,5.36277602523659,0.031816367265469,,0.0873007243285061,0.0451316493097489,83
"City","Greensboro","Greensboro","NC",,,81,2.42521367521368,82.93,,,130900,0.769822940723634,5.64971751412429,,,0.101041387522997,0.0415405225752769,61
"City","Lincoln","Lincoln","NE","Lincoln, NE","""Lincoln, NE""",82,8.40064102564103,95.06,1.803,2.0353,164000,0.551808706315144,7.40013097576948,0.033310975609756,,0.0605387606016615,0.00853634270931968,57
"City","San Bernardino","San Bernardino","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",83,5.59401709401709,92.44,4.9184,2.8815,257000,0.155884645362432,5.93569661995054,0.0528677042801557,,0.113749656644488,0.0598209539132648,68
"City","Corona","Corona","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",84,6.9465811965812,91.67,4.8015,1.3078,447800,0.78775602070673,5.19144937749589,0.0439057615006699,,0.0838357378505762,0.040108949760023,57
"City","Chula Vista","Chula Vista","CA","San Diego, CA","""San Diego-Carlsbad, CA""",85,6.73290598290598,88.14,3.7086,1.4906,502300,0.863453815261044,9.60069823259873,0.0303742783197292,,0.076218003890687,0.0352703755241686,48
"City","Chesapeake","Chesapeake","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",86,0.723290598290598,78.52,4.499,6.0328,250800,-0.198965380023876,3.59355638166047,0.0160087719298245,,0.112714175019725,0.038328352498308,76
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",87,7.05448717948718,89.66,,,237500,0.295608108108108,12.8266033254157,0.03528,,0.124713519785603,0.050393779078759,94
"City","Madison","Madison","WI","Madison, WI","""Madison, WI""",88,8.95619658119658,93.23,1.6149,0.335,233900,0.558899398108341,8.38739573679333,0.0324583155194527,,0.0603028117928905,0.0133907933537339,62
"City","Fontana","Fontana","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",89,5.79059829059829,91.4,5.4964,1.7319,352600,0.255899914700028,4.59804212399881,0.0442229154849687,,0.087184965457187,0.0483991668934845,62
"City","Fort Myers","Fort Myers","FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",90,5.84935897435897,85.71,,,204100,0.492368291482029,2.7693856998993,0.0286085252327291,,0.0817515498413768,0.0298421036391305,125
"City","Knoxville","Knoxville","TN","Knoxville, TN","""Knoxville, TN""",91,6.86858974358974,,,,129200,0.388500388500388,6.51277823577906,0.0393653250773993,,0.0985011835564876,0.0163078082914302,62
"City","North Las Vegas","North Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",93,3.79273504273504,78.61,10.4942,2.2342,212400,0.950570342205323,11.9072708113804,0.06295197740113,,0.192244960470019,0.0627579617000458,54
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",94,6.90064102564103,,,,189200,0.477960701009028,8.61079219288175,0.0473572938689217,,0.0786032691623983,0.0388492591942184,55
"City","Fremont","Fremont","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",95,8.62820512820513,100,2.5191,0.1813,953100,0.0524879277766114,6.1122244488978,0.0183202182352324,,0.0324242537681653,0.00480832438190492,42
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC","""Fayetteville, NC""",96,5.40918803418803,50,9.6578,7.5608,115100,2.40213523131673,4.16289592760181,0.0543006081668114,,,,98
"City","Springfield","Springfield","MO","Springfield, MO","""Springfield, MO""",97,1.82051282051282,,,,114700,0.174672489082969,-2.13310580204778,0.0300871839581518,,0.127515931663495,0.0181883232377458,
"City","Arlington","Arlington","VA","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",98,5.41987179487179,91.67,,,649400,0.417504252358126,3.88737801951688,0.0199907607021865,,0.108570869176347,0.00736863670455987,57
"City","Irving","Irving","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",99,9.43482905982906,100,1.4992,0.2186,184900,0.32555615843733,7.75058275058275,0.0382855597620335,,,,50
"City","Gilbert","Gilbert","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",100,6.07692307692308,90.82,4.0542,0.3471,298000,0.269179004037685,5.07757404795487,0.0195704697986576,,0.102839663577724,0.0143084241316613,56
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",101,7.41132478632479,83.61,2.2153,0.5442,426100,0.353273669335846,3.80024360535932,0.0130884768833608,,0.0899219067032733,0.0125843715340016,91
"City","Rochester","Rochester","NY","Rochester, NY","""Rochester, NY""",102,3.40491452991453,,,,73700,-1.73333333333333,8.5419734904271,0.033527815468114,,0.0762079102530577,0.115986084656415,82
"City","Winston-Salem","Winston-Salem","NC","Winston-Salem, NC","""Winston-Salem, NC""",103,2.17307692307692,77.62,5.1199,4.5061,124900,0.160384923817161,5.84745762711864,0.0322658126501201,,0.105467106494834,0.0374605925110872,71
"City","Irvine","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",104,6.88247863247863,90.44,1.209,0.4799,793200,-0.0252079657171666,3.38894681960375,0.00494074634392327,,0.0592579642312815,0.010371556180124,55
"City","Richmond","Richmond","VA","Richmond, VA","""Richmond, VA""",105,6.6474358974359,91.49,9.6263,4.1017,184300,1.15257958287596,14.5431945307645,0.0466467715680956,,0.128781534834169,0.0320284715775309,64
"City","Boca Raton","Boca Raton","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",106,3.31410256410256,82.41,,,321200,0.375,3.71327090732967,0.00289850560398497,,0.0712756715055885,0.0468484368700268,104
"City","Oxnard","Oxnard","CA","Ventura, CA","""Oxnard-Thousand Oaks-Ventura, CA""",107,6.91987179487179,89.47,5.1164,1.7859,468300,0.818083961248654,6.96665143901325,0.0390454836643177,,0.0833454940743405,0.0384724605715847,56
"City","Bradenton","Bradenton","FL","North Port-Sarasota-Bradenton, FL","""North Port-Sarasota-Bradenton, FL""",108,3.54380341880342,82.33,,,222100,0.045045045045045,6.11562350692785,0.00973885637100413,,0.0684634340873979,0.0501262634588889,102
"City","Santa Rosa","Santa Rosa","CA","Santa Rosa, CA","""Santa Rosa, CA""",109,7.95299145299145,98.15,1.9503,0.664,540500,0.278293135435993,6.39763779527559,0.00350231267345058,,0.0423959816393981,0.00917990972425846,45
"City","Des Moines","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",110,2.13568376068376,82.93,1.9231,2.2128,122300,0.163800163800164,0.990916597853014,0.0278168438266557,,0.0948972200151398,0.0451847939120287,61
"City","Reno","Reno","NV","Reno, NV","""Reno, NV""",111,8.11538461538461,90.07,2.9459,0.711,322200,0.43640897755611,7.29270729270729,0.0291216635630043,,0.0635467927141517,0.0368439577392648,58
"City","Spokane","Spokane","WA","Spokane, WA","""Spokane-Spokane Valley, WA""",112,7.22649572649573,92.07,4.9653,3.339,177300,0.795906765207504,9.24214417744917,0.0449238578680202,,0.0730722947876099,0.0318381736538247,55
"City","Augusta","Augusta","GA","Augusta, GA","""Augusta-Richmond County, GA-SC""",113,1.99038461538462,,,,83800,0.600240096038415,4.61922596754057,0.0273627684964199,,0.208851795179041,0.0452191399668848,81
"City","Tacoma","Tacoma","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",114,5.50641025641026,96,7.0128,4.0188,257900,0.467471756914686,12.276882890727,0.0463241566498642,,0.0732590314820788,0.0402973177187041,45
"City","Grand Rapids","Grand Rapids","MI","Grand Rapids, MI","""Grand Rapids-Wyoming, MI""",115,8.81517094017094,96.08,,,134700,0.898876404494382,11.4143920595534,0.0500816629547143,,0.0664704015679772,0.0167343603653454,53
"City","Oceanside","Oceanside","CA","San Diego, CA","""San Diego-Carlsbad, CA""",116,6.35790598290598,94.22,3.4284,0.6519,492100,0.326197757390418,4.21431596781025,0.0251046535257062,,0.0646024030680493,0.0217489637503994,49
"City","Gainesville","Gainesville","FL","Gainesville, FL","""Gainesville, FL""",117,1.63782051282051,70.63,,,164800,0.304321363359708,6.52876535229476,0.0222148058252427,,0.111582703070531,0.0607521754308194,77
"City","Woodbridge","Woodbridge","VA","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",118,2.30021367521368,79.29,4.9039,1.7329,305600,0.163880694854146,4.58590006844627,0.0245975130890053,,0.141190817882697,0.0350161591796713,56
"City","Ocala","Ocala","FL","Ocala, FL","""Ocala, FL""",119,6.6784188034188,78.43,,,128600,0.46875,10.1027397260274,0.0440046656298601,,0.141037322611783,0.0612981162949961,101
"City","Glendale","Glendale","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",120,7.83867521367521,98.89,1.3727,1.4371,773700,0.233190827827439,5.06518196632265,0.0106462453147214,,0.0526857402993942,0.0132034096717521,55
