Jan-91,6.4
Feb-91,6.6
Mar-91,6.8
Apr-91,6.7
May-91,6.9
Jun-91,6.9
Jul-91,6.8
Aug-91,6.9
Sep-91,6.9
Oct-91,7
Nov-91,7
Dec-91,7.3
Jan-92,7.3
Feb-92,7.4
Mar-92,7.4
Apr-92,7.4
May-92,7.6
Jun-92,7.8
Jul-92,7.7
Aug-92,7.6
Sep-92,7.6
Oct-92,7.3
Nov-92,7.4
Dec-92,7.4
Jan-93,7.3
Feb-93,7.1
Mar-93,7
Apr-93,7.1
May-93,7.1
Jun-93,7
Jul-93,6.9
Aug-93,6.8
Sep-93,6.7
Oct-93,6.8
Nov-93,6.6
Dec-93,6.5
Jan-94,6.6
Feb-94,6.6
Mar-94,6.5
Apr-94,6.4
May-94,6.1
Jun-94,6.1
Jul-94,6.1
Aug-94,6
Sep-94,5.9
Oct-94,5.8
Nov-94,5.6
Dec-94,5.5
Jan-95,5.6
Feb-95,5.4
Mar-95,5.4
Apr-95,5.8
May-95,5.6
Jun-95,5.6
Jul-95,5.7
Aug-95,5.7
Sep-95,5.6
Oct-95,5.5
Nov-95,5.6
Dec-95,5.6
Jan-96,5.6
Feb-96,5.5
Mar-96,5.5
Apr-96,5.6
May-96,5.6
Jun-96,5.3
Jul-96,5.5
Aug-96,5.1
Sep-96,5.2
Oct-96,5.2
Nov-96,5.4
Dec-96,5.4
Jan-97,5.3
Feb-97,5.2
Mar-97,5.2
Apr-97,5.1
May-97,4.9
Jun-97,5
Jul-97,4.9
Aug-97,4.8
Sep-97,4.9
Oct-97,4.7
Nov-97,4.6
Dec-97,4.7
Jan-98,4.6
Feb-98,4.6
Mar-98,4.7
Apr-98,4.3
May-98,4.4
Jun-98,4.5
Jul-98,4.5
Aug-98,4.5
Sep-98,4.6
Oct-98,4.5
Nov-98,4.4
Dec-98,4.4
Jan-99,4.3
Feb-99,4.4
Mar-99,4.2
Apr-99,4.3
May-99,4.2
Jun-99,4.3
Jul-99,4.3
Aug-99,4.2
Sep-99,4.2
Oct-99,4.1
Nov-99,4.1
Dec-99,4
Jan-00,4
Feb-00,4.1
Mar-00,4
Apr-00,3.8
May-00,4
Jun-00,4
Jul-00,4
Aug-00,4.1
Sep-00,3.9
Oct-00,3.9
Nov-00,3.9
Dec-00,3.9
Jan-01,4.2
Feb-01,4.2
Mar-01,4.3
Apr-01,4.4
May-01,4.3
Jun-01,4.5
Jul-01,4.6
Aug-01,4.9
Sep-01,5
Oct-01,5.3
Nov-01,5.5
Dec-01,5.7
Jan-02,5.7
Feb-02,5.7
Mar-02,5.7
Apr-02,5.9
May-02,5.8
Jun-02,5.8
Jul-02,5.8
Aug-02,5.7
Sep-02,5.7
Oct-02,5.7
Nov-02,5.9
Dec-02,6
Jan-03,5.8
Feb-03,5.9
Mar-03,5.9
Apr-03,6
May-03,6.1
Jun-03,6.3
Jul-03,6.2
Aug-03,6.1
Sep-03,6.1
Oct-03,6
Nov-03,5.8
Dec-03,5.7
Jan-04,5.7
Feb-04,5.6
Mar-04,5.8
Apr-04,5.6
May-04,5.6
Jun-04,5.6
Jul-04,5.5
Aug-04,5.4
Sep-04,5.4
Oct-04,5.5
Nov-04,5.4
Dec-04,5.4
Jan-05,5.3
Feb-05,5.4
Mar-05,5.2
Apr-05,5.2
May-05,5.1
Jun-05,5
Jul-05,5
Aug-05,4.9
Sep-05,5
Oct-05,5
Nov-05,5
Dec-05,4.9
Jan-06,4.7
Feb-06,4.8
Mar-06,4.7
Apr-06,4.7
May-06,4.6
Jun-06,4.6
Jul-06,4.7
Aug-06,4.7
Sep-06,4.5
Oct-06,4.4
Nov-06,4.5
Dec-06,4.4
Jan-07,4.6
Feb-07,4.5
Mar-07,4.4
Apr-07,4.5
May-07,4.4
Jun-07,4.6
Jul-07,4.7
Aug-07,4.6
Sep-07,4.7
Oct-07,4.7
Nov-07,4.7
Dec-07,5
Jan-08,5
Feb-08,4.9
Mar-08,5.1
Apr-08,5
May-08,5.4
Jun-08,5.6
Jul-08,5.8
Aug-08,6.1
Sep-08,6.1
Oct-08,6.5
Nov-08,6.8
Dec-08,7.3
Jan-09,7.8
Feb-09,8.3
Mar-09,8.7
Apr-09,9
May-09,9.4
Jun-09,9.5
Jul-09,9.5
Aug-09,9.6
Sep-09,9.8
Oct-09,10
Nov-09,9.9
Dec-09,9.9
Jan-10,9.8
Feb-10,9.8
Mar-10,9.9
